x	y	z	text
28.764282	4.244089	18.449228	on the warm hillside
-0.7655145	-8.588088	33.13619	heavy locks
-18.559887	41.893673	-12.022184	of moonlight
-6.9768	11.275911	-41.18152	fitful tune
-2.0712466	-15.393149	-6.8127704	came keeners
-4.413081	11.872534	-41.4253	to a fitful tune
9.296882	18.227016	14.248944	of some unhuman misery
-5.4110746	-12.401638	-47.221333	wildly trolled
-32.502903	18.844032	-1.0907737	dark hair
21.186186	3.1276107	1.0971367	dying sun
23.435831	9.041158	-21.763449	faint odours
26.498049	7.978558	-22.221878	sheds faint odours
1.3202507	10.281828	13.489603	through the air
28.941938	14.223356	-15.047965	from wire
-11.114433	15.732682	38.649055	with sound
-19.937172	-21.529972	-12.98447	falling dew
-3.8422024	-14.806065	13.431824	mournful ulalu
-13.583909	-1.5330863	21.774517	for the kind
12.288173	11.582855	2.359542	to the woods
21.447332	5.2809353	20.913832	on a doorway
-19.076586	29.817951	13.909902	old tympan
31.259312	4.8185616	-34.23126	wander wood
-33.981342	5.039038	-30.257936	through summer
2.373832	10.848525	-0.34336424	in the lake
-30.23544	-16.989517	-31.480953	leafy island
24.547825	-10.958015	-10.278935	flapping herons
3.8136702	46.965824	-1.1682701	faery vats
-0.14139509	17.46909	5.304549	of berries
6.0086813	-49.922493	-12.841226	stolen cherries
27.300241	25.017918	10.672855	of tremendous feet
29.426733	23.506712	10.388361	tremendous feet
25.285315	-1.1550566	10.449478	on the hob
-0.8396866	-5.793317	-24.52725	sing peace
-12.865392	-6.343424	-13.171369	along the wintry
-39.929264	13.88265	-16.129887	brown mice
3.4752984	-28.48372	37.30745	secret spirit
-29.293118	0.54013723	-40.47024	bubbling mire
-2.1085882	-13.596996	-13.388594	of gold
4.907822	4.9873176	-6.0154905	in the gulph
29.446642	0.24975495	13.6337385	on the pirates
-15.813165	36.33625	27.9688	penal days
-16.174797	34.809605	25.772997	in penal days
-21.137064	15.258945	6.0074954	under the blinking
11.489252	11.32726	7.6770163	to a shoneen
-32.70391	-5.011094	-1.357642	free lands
-8.823288	-13.788601	-5.2397103	had free lands
18.982851	-23.399776	32.234333	own snipe
-7.1186814	-5.2561674	-14.684423	in trust
0.7491674	24.670757	34.47592	as dowers
22.137152	-32.784573	15.42242	small holes
22.643908	-33.58412	12.162793	wore small holes
20.227457	-38.668995	12.696902	large holes
-1.1635599	-18.087013	-2.6038105	wore large holes
-19.45718	13.4586	-8.581601	by the hair
-27.536896	1.5625855	-23.670105	rolling vale
30.467001	24.948738	-15.656711	from the wives
7.146392	8.5996475	-5.313499	in the white
14.64521	46.747913	0.08228254	with a smile
4.475568	15.746443	26.863983	have peace
12.525544	37.171093	-0.4006034	with a frown
3.0454307	13.021723	-6.765957	in the cart
-5.912409	-12.71174	-8.941561	keen stars
-37.732204	18.80584	18.94279	keen eyes
-9.835134	10.002337	-15.113076	rocky shore
28.192661	19.50236	-15.972999	from a world
7.307936	11.612506	-7.6800013	in the firelight
2.900587	9.189227	-4.6110573	in the dishes
11.296363	6.962325	-9.217178	in a row
3.5905747	-12.783382	-18.453928	coloured trees
8.250234	17.143375	-8.475926	in the candles
-1.4079804	16.650463	-12.754392	curtained room
51.42593	0.9042483	-15.131578	golden bees
11.315915	11.676833	0.5996381	in the woods
-11.840904	11.846348	-14.390316	by rocky shore
21.12997	7.416785	20.912642	in the doorway
-40.51511	19.277145	16.80237	shone keen eyes
-1.5764946	23.576899	10.645917	of tears
-2.3974555	26.351421	33.45916	as a rabbit
47.246902	12.4978895	-1.9995654	olive wood
-12.278984	-12.884397	7.3925257	with little snow
0.12215842	-1.1475496	-38.568302	take love
26.516596	3.1625621	13.726604	on the tree
-43.53662	-10.479185	2.4654632	in a field
-17.619026	16.665842	-8.180968	by the river
24.416536	-25.290508	-17.545515	leaning shoulder
39.37653	-9.101124	16.066568	white hand
1.4225559	-0.026124934	-44.31535	take life
25.285315	-1.1550566	10.449478	on the weirs
-10.203472	-12.284359	5.940509	little snow
11.2171335	3.2416384	-7.446693	in love
47.3571	14.956753	-2.9353921	of olive wood
1.7991523	23.634659	-27.789747	from that young child
15.884271	3.2327945	16.621307	on that scaffolding
-14.401834	15.064291	37.44919	more sound
-12.667951	13.709911	39.79519	with no more sound
-23.821024	-14.108264	-3.0370588	strange thing
43.16254	-3.5008302	3.068462	norman upland
24.569637	-1.377656	40.017387	poplar shade
25.779333	1.0636322	40.61431	in that poplar shade
-11.971016	-16.841652	35.460278	south wind
-13.056587	-12.44448	31.266592	west wind
-6.151901	-29.712946	-40.974796	exchange opinion
12.1095085	45.632095	-6.2469945	with any neighbouring
7.014751	25.674301	39.69079	healthy flesh
1.6265283	20.812485	-27.1471	young child
-10.245072	-12.143915	-44.110275	wildly bred
21.415522	1.1079094	9.334383	on the street
11.24574	21.925732	-33.2902	wild bird
4.866694	14.328724	-10.145845	in the wild
9.515064	11.394336	37.024113	imagine lies
7.1501827	-9.477886	-11.484858	in any cage
10.628423	-16.266956	-33.29928	childish gratitude
11.927797	16.455425	-32.894157	wild sake
-28.016	-36.047703	13.943205	ivory image
36.45422	32.51247	7.2498946	chosen youth
-37.92384	20.697311	0.7103038	black hair
-37.77713	-8.1964445	-33.61135	bodily movement
-24.431612	16.959288	9.879073	under eyelids
-3.8803947	28.183722	-39.801556	so gleam
9.057238	-21.764805	0.5151571	danced heart
29.49814	2.8957205	-5.172136	at puberty
4.6929774	-20.136452	21.27321	in this lonely place
-19.12024	-5.7337294	-13.184391	living creature
-2.192826	9.659551	5.363739	in passion
9.127291	-6.069593	-18.203186	are scores
18.73197	4.408567	-6.138702	in privacy
-7.9764915	24.544254	7.3447294	of lovers
4.209976	21.14605	24.697266	have beauty
-3.648803	19.852879	12.827025	of delight
14.51424	12.639152	-25.98757	barbarous crowd
18.997837	24.168034	-27.32338	talk men
-26.84101	-36.130955	-11.18753	exact likeness
-4.0653915	-1.3586061	-11.6230345	of a child
12.269655	-14.741128	2.0395937	burning sun
0.05050385	-27.460442	22.521215	lonely thing
-28.922562	-11.702067	-41.976303	religious festival
22.167969	-2.660352	17.749712	on toe
-24.658716	34.084007	5.053352	old courtesies
5.380135	-23.113771	21.468948	lonely place
-25.104788	33.567894	2.6510096	in old courtesies
17.410059	-11.520875	-36.260536	venetian lady
10.849562	14.948769	10.943426	to some intrigue
1.8444644	-13.01409	14.6497755	red shoes
