Item,Frequency,Category
hand dare touch,2,Dance-Related
comrade sorrow dreaming,2,Dance-Related
many changing things,2,Dance-Related
high comrade sorrow,2,Dance-Related
wings half spread,2,Long Phrase
laborious life imagined,2,Dance-Related
toiling only breeds,2,Dance-Related
humming,2,Single Word
ancient habit sticks,2,Long Phrase
own secret meditation,2,Long Phrase
story tell,2,Short Phrase
thy fretful words,2,Long Phrase
no more hear common things,2,Dance-Related
worship dusty deeds,2,Long Phrase
troubled mirror show,2,Long Phrase
dusty,2,Single Word
glad singing through,2,Dance-Related
troubling,2,Single Word
none dared admit,2,Dance-Related
own furious path,2,Long Phrase
certain,2,Single Word
little powder burned,2,Long Phrase
please,2,Single Word
words alone,2,Dance-Related
fixed old aching,2,Dance-Related
certain good,2,Dance-Related
warring kings,2,Short Phrase
be-mockers?--by,2,Single Word
old aching eyes,2,Long Phrase
dreams,2,Dance-Related
stammering schoolboy said,2,Long Phrase
ancient tricks unlearned,2,Long Phrase
ghostly,2,Single Word
nowise worship dusty,2,Long Phrase
walking,2,Single Word
sudden flaming word,2,Long Phrase
dream,2,Dance-Related
toiled so hard,2,Dance-Related
shouting,2,Single Word
had such burdens,2,Long Phrase
then nowise worship,2,Long Phrase
re-echoing,2,Single Word
own tale again,2,Long Phrase
dare,2,Single Word
man ever journeys,2,Dance-Related
such,2,Single Word
eyes grow,2,Short Phrase
eyes grow full,2,Dance-Related
bitter glass,2,Short Phrase
imagined,2,Single Word
little while,2,Short Phrase
fatal image grows,2,Dance-Related
end,2,Single Word
spirit rocked,2,Short Phrase
roots half hidden,2,Long Phrase
vanish,2,Single Word
lovely,2,Single Word
wool so white,2,Long Phrase
show,2,Single Word
satisfied,2,Single Word
tender eyes grow,2,Long Phrase
make so fair,2,Long Phrase
bowed,2,Single Word
little further,2,Short Phrase
further on,2,Short Phrase
opened,2,Single Word
asleep,2,Single Word
battling,2,Single Word
more hear,2,Dance-Related
tongue men,2,Dance-Related
gathers,2,Dance-Related
evil,2,Single Word
long dead,2,Short Phrase
bright hearts,2,Dance-Related
image made,2,Dance-Related
thing so sad,2,Dance-Related
thine own,2,Short Phrase
things said,2,Dance-Related
aged,2,Single Word
maybe,2,Single Word
holy branches start,2,Long Phrase
reply,2,Single Word
gaze no more,2,Dance-Related
thine,2,Single Word
girl goes dancing,2,Dance-Related
many ingenious lovely,2,Dance-Related
hear common,2,Dance-Related
windy,2,Single Word
starry candles flare,2,Long Phrase
astray,2,Single Word
light foot here,2,Long Phrase
burned,2,Single Word
finish,2,Single Word
sang softly nigh,2,Long Phrase
black,2,Single Word
dim wisdoms old,2,Long Phrase
ingenious lovely things,2,Dance-Related
elemental beings go,2,Dance-Related
wrong,2,Single Word
own whispering words,2,Long Phrase
seemed sheer miracle,2,Dance-Related
famous,2,Single Word
first blossoming age,2,Long Phrase
written page,2,Short Phrase
barbarous,2,Single Word
sweet dancer,2,Dance-Related
shaking,2,Single Word
goes dancing there,2,Dance-Related
whispering,2,Single Word
dreaming,2,Dance-Related
hollow,2,Single Word
gaze,2,Single Word
broken,2,Single Word
strange men come,2,Long Phrase
escaped,2,Single Word
hold,2,Dance-Related
strange things,2,Dance-Related
seek alone,2,Dance-Related
rolling,2,Single Word
shake,2,Dance-Related
more hear common things,2,Dance-Related
sink,2,Single Word
sleeps,2,Single Word
chinese dancers enwound,2,Dance-Related
moved yet seemed,2,Dance-Related
wore,2,Single Word
shaken,2,Dance-Related
sought,2,Single Word
free,2,Single Word
past,2,Single Word
take love easy,2,Long Phrase
eyes had once,2,Long Phrase
swept,2,Single Word
full round moon,2,Dance-Related
gray wolf knows,2,Long Phrase
bade,2,Single Word
falling,2,Single Word
fling stones,2,Dance-Related
fly,2,Single Word
ivory image there,2,Dance-Related
myriad,2,Single Word
laden,2,Single Word
dig old customs,2,Long Phrase
sighs,2,Single Word
hides,2,Single Word
old tympan lay,2,Long Phrase
eyeballs never moved,2,Dance-Related
red mournful lips,2,Long Phrase
living creature knows,2,Long Phrase
weary cry,2,Short Phrase
too,2,Single Word
hurled,2,Single Word
hid away earth,2,Long Phrase
wildly,2,Single Word
moved,2,Dance-Related
heavy rings uncoiled,2,Dance-Related
married voiced wildly,2,Long Phrase
looked,2,Single Word
dabbled,2,Single Word
read,2,Single Word
same white stars,2,Long Phrase
weary woman sleeps,2,Dance-Related
fade,2,Single Word
ships loose thought,2,Long Phrase
tire,2,Single Word
only white birds,2,Long Phrase
carries,2,Single Word
feared,2,Single Word
most secret spirit,2,Long Phrase
caught,2,Single Word
morn grew frosty,2,Long Phrase
secret spirit grew,2,Long Phrase
lingers hung low,2,Long Phrase
waves,2,Single Word
wandering fire,2,Dance-Related
hung low,2,Short Phrase
soft,2,Single Word
blue star,2,Short Phrase
no longer,2,Short Phrase
no longer hear,2,Dance-Related
