Item,Frequency,Category
growing bold,1,Short Phrase
hares run,1,Dance-Related
woodland deer,1,Dance-Related
wolf knows,1,Short Phrase
gray wolf,1,Short Phrase
heavy locks,1,Dance-Related
cormorants shiver,1,Short Phrase
wintry strands,1,Short Phrase
coloured trees,1,Short Phrase
golden bees,1,Dance-Related
summer gluts,1,Short Phrase
waters rolled,1,Short Phrase
rushes waved,1,Short Phrase
flew high,1,Dance-Related
clouds flew,1,Dance-Related
starlight gleamed,1,Short Phrase
birds fluttered,1,Short Phrase
rocky shore,1,Short Phrase
laughed aloud,1,Dance-Related
keen eyes,1,Short Phrase
shone keen,1,Dance-Related
keen stars,1,Short Phrase
fitful tune,1,Dance-Related
old tympan,1,Short Phrase
beaked,1,Single Word
tympan lay,1,Short Phrase
inland,1,Dance-Related
drank,1,Single Word
northern,1,Single Word
drives,1,Single Word
fading,1,Single Word
increased,1,Single Word
fatter,1,Single Word
otter,1,Single Word
wander wood,1,Short Phrase
kind wires,1,Short Phrase
mournful ulalu,1,Short Phrase
falling dew,1,Short Phrase
hand passed,1,Dance-Related
faint odours,1,Short Phrase
sheds faint,1,Short Phrase
dying sun,1,Short Phrase
hides away,1,Short Phrase
dark hair,1,Short Phrase
long dark,1,Short Phrase
wildly trolled,1,Short Phrase
voiced wildly,1,Short Phrase
married voiced wildly trolled,1,Long Phrase
married voiced,1,Short Phrase
unhuman misery,1,Dance-Related
doorway seat,1,Short Phrase
undying,1,Single Word
eldest,1,Single Word
angelic clan,1,Short Phrase
idle word,1,Short Phrase
then nowise worship dusty,1,Long Phrase
then nowise,1,Short Phrase
endless reverie,1,Short Phrase
moment heard,1,Dance-Related
clanging space,1,Short Phrase
flaming word,1,Short Phrase
sudden flaming,1,Short Phrase
wandering earth,1,Dance-Related
old time,1,Short Phrase
entangled story,1,Short Phrase
schoolboy said,1,Short Phrase
stammering schoolboy,1,Short Phrase
-mockers?--by,1,Single Word
dream thou,1,Dance-Related
be-,1,Single Word
cracked tune,1,Dance-Related
dreary dancing,1,Dance-Related
changing things,1,Dance-Related
many changing,1,Dance-Related
sick children,1,Short Phrase
restless head,1,Dance-Related
yet still,1,Short Phrase
painted toy,1,Short Phrase
antique joy,1,Short Phrase
sung,1,Single Word
murmured,1,Single Word
nowise worship,1,Short Phrase
nowise worship dusty deeds,1,Long Phrase
worship dusty,1,Short Phrase
then nowise worship dusty deeds,1,Long Phrase
singing through,1,Dance-Related
glad singing,1,Dance-Related
walking ghostly,1,Short Phrase
shouting days,1,Short Phrase
mirthful songs,1,Dance-Related
sleepy ground,1,Dance-Related
hapless faun,1,Short Phrase
lily wave,1,Short Phrase
pearly brotherhood,1,Short Phrase
singing fade,1,Dance-Related
fretful words,1,Short Phrase
thy fretful,1,Short Phrase
melodious guile,1,Short Phrase
harbouring shell,1,Short Phrase
go gather,1,Dance-Related
human truth,1,Dance-Related
cold star,1,Short Phrase
whirling ways,1,Dance-Related
optic glass,1,Short Phrase
starry men,1,Short Phrase
new dreams,1,Dance-Related
only breeds,1,Short Phrase
toiling only,1,Dance-Related
hunger fiercely,1,Short Phrase
dusty deeds,1,Short Phrase
wind laugh,1,Short Phrase
white arms,1,Short Phrase
place apart,1,Short Phrase
consuming ecstasy,1,Short Phrase
night above,1,Short Phrase
ever journeys,1,Short Phrase
man ever,1,Dance-Related
ancient gaze,1,Short Phrase
surely meet,1,Short Phrase
austere ways,1,Short Phrase
pondering mind,1,Dance-Related
beings go,1,Dance-Related
elemental beings,1,Short Phrase
wisdoms old,1,Short Phrase
dim wisdoms,1,Short Phrase
rhyming tell,1,Short Phrase
rhymes more,1,Dance-Related
ponders well,1,Short Phrase
holy quietude,1,Short Phrase
foot here,1,Short Phrase
light foot,1,Short Phrase
candles flare,1,Short Phrase
starry candles,1,Short Phrase
heart begin,1,Dance-Related
flying feet,1,Short Phrase
light fall,1,Short Phrase
blossoming age,1,Short Phrase
first blossoming,1,Short Phrase
trails all,1,Short Phrase
wizard things,1,Dance-Related
dream at,1,Dance-Related
faeries dance,1,Dance-Related
at all,1,Short Phrase
withered away,1,Short Phrase
coming,1,Single Word
consuming,1,Single Word
lived,1,Single Word
write,1,Single Word
journeys,1,Single Word
austere,1,Single Word
pondering,1,Single Word
huddle,1,Single Word
elemental,1,Single Word
rhyming,1,Single Word
ponders,1,Single Word
counted,1,Single Word
quietude,1,Single Word
flare,1,Single Word
begin,1,Single Word
blossoming,1,Single Word
angelic,1,Single Word
any,1,Single Word
sweeten,1,Dance-Related
accounted,1,Single Word
heart went,1,Dance-Related
coming times,1,Short Phrase
dim coming,1,Short Phrase
white foot,1,Short Phrase
dreamy youth,1,Dance-Related
antique,1,Single Word
humid,1,Single Word
bend,1,Single Word
inarticulate,1,Single Word
depart,1,Single Word
comforting,1,Single Word
send,1,Single Word
echoing,1,Single Word
listening,1,Single Word
naught,1,Single Word
along,1,Single Word
piteous,1,Single Word
alway,1,Single Word
laugh,1,Single Word
comfort,1,Single Word
loudly,1,Dance-Related
painted,1,Single Word
wend,1,Single Word
wildering whirls,1,Dance-Related
inarticulate moan,1,Short Phrase
sad dweller,1,Short Phrase
pearly rim,1,Short Phrase
softly nigh,1,Short Phrase
sang softly,1,Short Phrase
ancient burden,1,Short Phrase
whispering words,1,Short Phrase
own whispering,1,Short Phrase
tale again,1,Short Phrase
own tale,1,Short Phrase
wildering,1,Single Word
forgetting,1,Single Word
make so,1,Short Phrase
wool so,1,Short Phrase
myriad spots,1,Short Phrase
languid tail,1,Short Phrase
monstrous peacock,1,Short Phrase
feathers gay,1,Short Phrase
peacock say,1,Short Phrase
gentle thing,1,Dance-Related
so sad,1,Short Phrase
thing so,1,Dance-Related
gentle roebuck,1,Short Phrase
roebuck raised,1,Short Phrase
little way,1,Short Phrase
petals wide,1,Short Phrase
sliding drop,1,Short Phrase
tinkling tide,1,Short Phrase
lotus talk,1,Short Phrase
dripping wing,1,Short Phrase
eldest speak,1,Short Phrase
other round,1,Dance-Related
grassy slope,1,Short Phrase
rushes round,1,Dance-Related
evening light,1,Short Phrase
humid trees,1,Short Phrase
swift,1,Single Word
footfall light,1,Short Phrase
so white,1,Short Phrase
pearly heart,1,Dance-Related
-echoing,1,Single Word
re-,1,Single Word
through,1,Single Word
buried,1,Single Word
hapless,1,Single Word
lily,1,Single Word
fretful,1,Single Word
thy,1,Single Word
melodious,1,Single Word
twisted,1,Single Word
rent,1,Single Word
cloven,1,Single Word
whirling,1,Dance-Related
optic,1,Single Word
follow,1,Single Word
toiling,1,Dance-Related
fiercely,1,Single Word
worship,1,Single Word
nowise,1,Single Word
endless,1,Single Word
clanging,1,Single Word
entangled,1,Single Word
reading,1,Single Word
idle,1,Single Word
cracked,1,Dance-Related
dreary,1,Dance-Related
restless,1,Single Word
turns,1,Dance-Related
mirthful,1,Dance-Related
dreamy,1,Dance-Related
own words,1,Short Phrase
high comrade,1,Dance-Related
heavy story,1,Dance-Related
once again,1,Short Phrase
sought once,1,Short Phrase
own dropping,1,Short Phrase
always listening,1,Short Phrase
dewdrops glistening,1,Short Phrase
valley stopping,1,Short Phrase
gentle valley,1,Short Phrase
rolling along,1,Short Phrase
cry still,1,Short Phrase
old cry,1,Short Phrase
sea swept,1,Short Phrase
piteous story,1,Short Phrase
most piteous,1,Short Phrase
sing alway,1,Dance-Related
pale thrones,1,Dance-Related
called loudly,1,Dance-Related
surges wend,1,Short Phrase
windy surges,1,Short Phrase
humming sands,1,Short Phrase
slow steps,1,Dance-Related
went walking,1,Short Phrase
sorrow dreaming,1,Dance-Related
comrade sorrow,1,Short Phrase
high comrade sorrow dreaming,1,Dance-Related
dread,1,Single Word
