Phrase,Frequency
little care,1
with little care,1
never rode,1
rocky lane,1
by rocky lane,1
sick man,1
in grief,1
as a bird,1
at that word,1
for souls,1
great angels,1
purple robes,1
long gone,1
old days,1
gentle race,1
murmur ye,1
blessed skies,1
of moons,1
leafy tunes,1
awakens leafy tunes,1
at that singing,1
beside the well,1
sudden vengeance,1
deep earth,1
small knot,1
by the pool,1
unneeded voice,1
old silence,1
lonely folk,1
calm brows,1
with leafage,1
gentle feeling,1
like a fleece,1
angry mood,1
unhaunted sleep,1
taken man,1
with honey,1
of squall,1
crowned dancer,1
in the grave,1
at every hearth,1
old fellow,1
at that old fellow,1
strange place,1
of the flames,1
from the rose,1
at hand,1
never done,1
hears love,1
never cease,1
swept hearth,1
quiet shade,1
woven silence,1
into the air,1
pale dawn,1
on the pale dawn,1
in rain,1
on the earth,1
amid the wandering,1
starry mirth,1
in laughter,1
from the sea,1
sad lips,1
gray ships,1
by the little cry,1
dim tides,1
of sorrow,1
heard ring,1
far thing,1
gray sea,1
long ships,1
equal fate,1
longer hear,1
by the people,1
from battles,1
dabbled hair,1
bridal sleep,1
with hope,1
in dancing,1
like a dream,1
red lips,1
for these red lips,1
mournful pride,1
new wonder,1
high funeral,1
labouring world,1
amid men,1
give place,1
pale waters,1
like the pale waters,1
passing stars,1
lonely face,1
on this lonely face,1
dim abode,1
grassy road,1
wandering feet,1
great town,1
gentle ways,1
by gentle ways,1
softly make,1
rosy peace,1
tall thought,1
above the tide,1
of hours,1
from fear,1
of faery,1
long dew,1
surely forget,1
singing leaves,1
labouring ships,1
myriad years,1
pale moon,1
in the sky,1
loud chaunting,1
unquiet leaves,1
of the unquiet leaves,1
with earth,1
by the fire,1
down this book,1
slowly read,1
soft look,1
of the soft look,1
glad grace,1
of glad grace,1
changing face,1
glowing bars,1
amid a crowd,1
of the flame,1
of twilight,1
on the rim,1
from those dreamers,1
in the fall,1
of the dew,1
to white birds,1
wandering foam,1
by numberless,1
mournful lips,1
loud song,1
dropping hours,1
laden sky,1
of the night,1
from men,1
small cabin,1
of clay,1
for the honey,1
in the bee,1
for peace,1
from the veils,1
of the morning,1
purple glow,1
of the linnet,1
hear lake,1
low sounds,1
with low sounds,1
by the shore,1
on the roadway,1
on the pavements,1
deep heart,1
in the deep heart,1
of trooping,1
in the heart,1
wet winds,1
ever blowing,1
hazel grove,1
gray waters,1
of the sparrows,1
full round,1
in purple robes,1
had pity,1
grew fatter day,1
in circles,1
sad dweller,1
by the sea,1
inarticulate moan,1
wildering whirls,1
with sails,1
on the seas,1
with wool,1
along the water,1
humid trees,1
below the humid trees,1
in evening,1
on a grassy,1
other round,1
beyond the sky,1
of things,1
dripping wing,1
on a stalk,1
tinkling tide,1
sliding drop,1
of rain,1
little way,1
within the gloom,1
of starlight,1
gentle roebuck,1
gentle thing,1
monstrous peacock,1
